Entity,Code,Year,"Crude divorce rate (per 1,000 inhabitants)",Duration of marriages ending in divorce,143153-annotations,Share of single parent families,"Estimated average age at marriage, women"
North Macedonia,MKD,2007,0.69999999,NA,NA,NA,NA
North Macedonia,MKD,2008,0.60000002,NA,NA,NA,NA
North Macedonia,MKD,2009,0.60000002,NA,NA,NA,NA
North Macedonia,MKD,2010,0.80000001,NA,NA,NA,NA
North Macedonia,MKD,2011,0.89999998,NA,NA,NA,25.5
North Macedonia,MKD,2012,0.89999998,NA,NA,NA,NA
North Macedonia,MKD,2013,1,NA,NA,NA,NA
North Macedonia,MKD,2014,1.1,NA,NA,NA,NA
North Macedonia,MKD,2015,1,NA,NA,NA,NA
North Macedonia,MKD,2016,1,NA,NA,NA,NA
North Macedonia,MKD,2017,1,NA,NA,NA,NA
Northern Mariana Islands,MNP,1983,2.3,NA,NA,NA,NA
Northern Mariana Islands,MNP,1985,1.2,NA,NA,NA,NA
Northern Mariana Islands,MNP,1990,NA,NA,NA,NA,28.5
Northern Mariana Islands,MNP,2003,5.3000002,NA,NA,NA,NA
Northern Mariana Islands,MNP,2010,NA,NA,NA,NA,28.1
Norway,NOR,1960,0.69999999,NA,NA,NA,NA
Norway,NOR,1961,0.69999999,NA,NA,NA,NA
Norway,NOR,1962,0.69999999,NA,NA,NA,NA
Norway,NOR,1963,0.69999999,NA,NA,NA,NA
Norway,NOR,1964,0.69999999,NA,NA,NA,NA
Norway,NOR,1965,0.69999999,NA,NA,NA,NA
Norway,NOR,1966,0.69999999,NA,NA,NA,NA
Norway,NOR,1967,0.80000001,NA,NA,NA,NA
Norway,NOR,1968,0.80000001,NA,NA,NA,NA
Norway,NOR,1969,0.80000001,NA,NA,NA,NA
Norway,NOR,1970,0.89999998,NA,NA,NA,NA
Norway,NOR,1971,1,NA,NA,NA,NA
Norway,NOR,1972,1,NA,NA,NA,NA
Norway,NOR,1973,1.2,NA,NA,NA,NA
Norway,NOR,1974,1.3,NA,NA,NA,NA
Norway,NOR,1975,1.4,NA,NA,NA,NA
Norway,NOR,1976,1.4,NA,NA,NA,NA
Norway,NOR,1977,1.5,NA,NA,NA,NA
Norway,NOR,1978,1.5,NA,NA,NA,NA
Norway,NOR,1979,1.6,NA,NA,NA,NA
Norway,NOR,1980,1.6,NA,NA,NA,NA
Norway,NOR,1981,1.7,NA,NA,NA,NA
Norway,NOR,1982,1.7,NA,NA,NA,NA
Norway,NOR,1983,1.9,NA,NA,NA,NA
Norway,NOR,1984,1.9,NA,NA,NA,NA
Norway,NOR,1985,2,NA,NA,NA,NA
Norway,NOR,1986,1.9,NA,NA,NA,NA
Norway,NOR,1987,2,NA,NA,NA,NA
Norway,NOR,1988,2.0999999,NA,NA,NA,NA
Norway,NOR,1989,2.2,NA,NA,NA,NA
Norway,NOR,1990,2.4000001,NA,NA,NA,26.4
Norway,NOR,1991,2.4000001,NA,NA,NA,26.6
Norway,NOR,1992,2.4000001,NA,NA,NA,26.799999
Norway,NOR,1993,2.5,NA,NA,NA,27
Norway,NOR,1994,2.5,NA,NA,NA,27.200001
Norway,NOR,1995,2.4000001,NA,NA,NA,27.5
Norway,NOR,1996,2.3,NA,NA,NA,27.9
Norway,NOR,1997,2.3,NA,NA,NA,28.200001
Norway,NOR,1998,2.0999999,NA,NA,NA,28.4
Norway,NOR,1999,2,NA,NA,NA,28.9
Norway,NOR,2000,2.2,NA,NA,NA,28.4
Norway,NOR,2001,2.3,NA,NA,8.3,28.6
Norway,NOR,2002,2.3,NA,NA,NA,28.700001
Norway,NOR,2003,2.4000001,NA,NA,NA,NA
Norway,NOR,2004,2.4000001,NA,NA,NA,NA
Norway,NOR,2005,2.4000001,NA,NA,NA,NA
Norway,NOR,2006,2.3,NA,NA,NA,30.4
Norway,NOR,2007,2.2,NA,NA,NA,30.6
Norway,NOR,2008,2.0999999,NA,NA,NA,31
Norway,NOR,2009,2.0999999,NA,NA,NA,30.9
Norway,NOR,2010,2.0999999,NA,NA,NA,30.799999
Norway,NOR,2011,2.0999999,NA,NA,8.4,31.1
Norway,NOR,2012,2,NA,NA,NA,31.4
Norway,NOR,2013,2,NA,NA,NA,31.5
Norway,NOR,2014,1.9,NA,NA,NA,31.6
Norway,NOR,2015,1.9,NA,NA,NA,31.9
Norway,NOR,2016,1.9,NA,NA,NA,31.9
Norway,NOR,2017,2,NA,NA,NA,32.299999
Oman,OMN,1993,NA,NA,NA,NA,20.700001
Oman,OMN,2003,NA,NA,NA,NA,24.799999
Oman,OMN,2010,NA,NA,NA,NA,25.6
Pakistan,PAK,1975,NA,NA,NA,NA,19.6
Pakistan,PAK,1990,NA,NA,NA,NA,21.4
Pakistan,PAK,1991,NA,NA,NA,4.1,NA
Pakistan,PAK,2000,NA,NA,NA,NA,22.700001
Pakistan,PAK,2006,NA,NA,NA,6.3,23.1
Pakistan,PAK,2012,NA,NA,NA,NA,23.1
Pakistan,PAK,2013,NA,NA,NA,6.4,NA
Pakistan,PAK,2017,NA,NA,NA,NA,23.200001
Palau,PLW,2015,NA,NA,NA,NA,28.5
Palestine,PSE,1996,1.3,NA,NA,NA,21.6
Palestine,PSE,1997,NA,NA,NA,4.5,NA
Palestine,PSE,2000,NA,NA,NA,NA,21.700001
Palestine,PSE,2004,NA,NA,NA,NA,22.4
Palestine,PSE,2005,1.1,NA,NA,NA,NA
Palestine,PSE,2006,1,NA,NA,NA,22.9
Palestine,PSE,2007,NA,NA,NA,5.3,NA
Palestine,PSE,2010,NA,NA,NA,NA,23.200001
Palestine,PSE,2014,NA,NA,NA,NA,22.5
Panama,PAN,1960,NA,NA,NA,9.9,NA
Panama,PAN,1970,0.40000001,NA,NA,9.1,20.4
Panama,PAN,1980,NA,NA,NA,9.9,21.4
Panama,PAN,1985,0.69999999,NA,NA,NA,NA
Panama,PAN,1990,NA,NA,NA,9.8,21.9
Panama,PAN,1995,0.5,NA,NA,NA,NA
Panama,PAN,2000,NA,NA,NA,10.7,21.9
Panama,PAN,2005,0.89999998,NA,NA,NA,NA
Panama,PAN,2006,0.89999998,NA,NA,NA,NA
Panama,PAN,2010,NA,NA,NA,11.5,21.6
Papua New Guinea,PNG,1971,NA,NA,NA,NA,19.4
Papua New Guinea,PNG,1980,NA,NA,NA,NA,20.6
Papua New Guinea,PNG,1990,NA,NA,NA,NA,20.9
Papua New Guinea,PNG,2011,NA,NA,NA,NA,22.6
Paraguay,PRY,1962,NA,NA,NA,11.1,NA
Paraguay,PRY,1972,NA,NA,NA,8.9,21.700001
Paraguay,PRY,1982,NA,NA,NA,7.8,21.799999
Paraguay,PRY,1992,NA,NA,NA,7.6,21.5
Paraguay,PRY,2002,NA,NA,NA,8.8,22.700001
Peru,PER,1968,0.2,NA,NA,NA,NA
Peru,PER,1986,NA,NA,NA,NA,23.1
Peru,PER,1991,NA,NA,NA,7.4,23.9
Peru,PER,1996,NA,NA,NA,8.4,23.1
Peru,PER,1997,0.1,NA,NA,NA,NA
Peru,PER,1998,0.1,NA,NA,NA,NA
Peru,PER,2000,NA,NA,NA,8.6,23.6
Peru,PER,2003,NA,NA,NA,NA,24.4
Peru,PER,2005,NA,NA,NA,9.4,NA
Peru,PER,2007,NA,NA,NA,9.4,24.1
Peru,PER,2009,NA,NA,NA,9.5,23.200001
Peru,PER,2010,NA,NA,NA,10,23.1
Peru,PER,2011,NA,NA,NA,11,23.6
Peru,PER,2012,NA,NA,NA,10.9,23.5
Peru,PER,2013,NA,NA,NA,NA,23.4
Peru,PER,2014,NA,NA,NA,NA,23.5
Peru,PER,2015,NA,NA,NA,NA,22.9
Peru,PER,2016,NA,NA,NA,NA,23.299999
Philippines,PHL,1978,NA,NA,NA,NA,24.5
Philippines,PHL,1993,NA,NA,NA,5.3,23.4
Philippines,PHL,1998,NA,NA,NA,5.5,23.5
Philippines,PHL,1999,NA,NA,NA,NA,24.200001
Philippines,PHL,2003,NA,NA,NA,6.2,23.200001
Philippines,PHL,2008,NA,NA,NA,6.2,23.299999
Philippines,PHL,2013,NA,NA,NA,6.9,23.4
Philippines,PHL,2017,NA,NA,NA,NA,23.4
Poland,POL,1960,0.5,NA,NA,NA,NA
Poland,POL,1961,0.60000002,NA,NA,NA,NA
Poland,POL,1962,0.60000002,NA,NA,NA,NA
Poland,POL,1963,0.60000002,NA,NA,NA,NA
Poland,POL,1964,0.69999999,NA,NA,NA,NA
Poland,POL,1965,0.69999999,NA,NA,NA,NA
Poland,POL,1966,0.80000001,NA,NA,NA,NA
Poland,POL,1967,0.80000001,NA,NA,NA,NA
Poland,POL,1968,0.89999998,NA,NA,NA,NA
Poland,POL,1969,1,NA,NA,NA,NA
Poland,POL,1970,1.1,NA,NA,NA,NA
Poland,POL,1971,1.1,NA,NA,NA,NA
Poland,POL,1972,1.1,NA,NA,NA,NA
Poland,POL,1973,1.2,NA,NA,NA,NA
Poland,POL,1974,1.2,NA,NA,NA,NA
Poland,POL,1975,1.2,NA,NA,NA,NA
Poland,POL,1976,1.1,NA,NA,NA,NA
Poland,POL,1977,1.2,NA,NA,NA,NA
Poland,POL,1978,1,NA,NA,NA,NA
Poland,POL,1979,1.1,NA,NA,NA,NA
Poland,POL,1980,1.1,NA,NA,NA,NA
Poland,POL,1981,1.1,NA,NA,NA,NA
Poland,POL,1982,1.3,NA,NA,NA,NA
Poland,POL,1983,1.3,NA,NA,NA,NA
Poland,POL,1984,1.4,NA,NA,NA,NA
Poland,POL,1985,1.3,NA,NA,NA,NA
Poland,POL,1986,1.4,NA,NA,NA,NA
Poland,POL,1987,1.3,NA,NA,NA,NA
Poland,POL,1988,1.3,NA,NA,NA,NA
Poland,POL,1989,1.2,NA,NA,NA,NA
Poland,POL,1990,1.1,NA,NA,NA,NA
Poland,POL,1991,0.89999998,NA,NA,NA,NA
Poland,POL,1992,0.80000001,NA,NA,NA,NA
Poland,POL,1993,0.69999999,NA,NA,NA,23
Poland,POL,1994,0.80000001,NA,NA,NA,23.200001
Poland,POL,1995,1,NA,NA,NA,23.299999
Poland,POL,1996,1,NA,NA,NA,23.4
Poland,POL,1997,1.1,NA,NA,NA,23.6
Poland,POL,1998,1.2,NA,NA,NA,23.799999
Poland,POL,1999,1.1,NA,NA,NA,23.9
Poland,POL,2000,1.1,NA,NA,NA,24.1
Poland,POL,2001,1.2,NA,NA,NA,24.4
Poland,POL,2002,1.2,NA,NA,11.3,24.6
Poland,POL,2003,1.3,NA,NA,NA,24.9
Poland,POL,2004,1.5,NA,NA,NA,25.1
Poland,POL,2005,1.8,NA,NA,NA,25.299999
Poland,POL,2006,1.9,NA,NA,NA,25.5
Poland,POL,2007,1.7,NA,NA,NA,25.6
Poland,POL,2008,1.7,NA,NA,NA,25.700001
Poland,POL,2009,1.7,NA,NA,NA,25.9
Poland,POL,2010,1.6,NA,NA,NA,26.1
Poland,POL,2011,1.7,NA,NA,11.4,26.200001
Poland,POL,2012,1.7,NA,NA,NA,26.299999
Poland,POL,2013,1.7,NA,NA,NA,26.6
Poland,POL,2014,1.7,NA,NA,NA,26.700001
Poland,POL,2015,1.8,NA,NA,NA,26.9
Poland,POL,2016,1.7,NA,NA,NA,27.1
Poland,POL,2017,1.7,NA,NA,NA,27.299999
Portugal,PRT,1960,0.1,NA,NA,NA,NA
Portugal,PRT,1961,0.1,NA,NA,NA,NA
Portugal,PRT,1962,0.1,NA,NA,NA,NA
Portugal,PRT,1963,0.1,NA,NA,NA,NA
Portugal,PRT,1964,0.1,NA,NA,NA,NA
Portugal,PRT,1965,0.1,NA,NA,NA,NA
Portugal,PRT,1966,0.1,NA,NA,NA,NA
Portugal,PRT,1967,0.1,NA,NA,NA,NA
Portugal,PRT,1968,0.1,NA,NA,NA,NA
Portugal,PRT,1969,0.1,NA,NA,NA,NA
Portugal,PRT,1970,0.1,NA,NA,NA,NA
Portugal,PRT,1971,0.1,NA,NA,NA,NA
Portugal,PRT,1972,0.1,NA,NA,NA,NA
Portugal,PRT,1973,0.1,NA,NA,NA,NA
Portugal,PRT,1974,0.1,NA,NA,NA,NA
Portugal,PRT,1975,0.2,NA,NA,NA,NA
Portugal,PRT,1976,0.5,NA,NA,NA,NA
Portugal,PRT,1977,0.80000001,NA,NA,NA,NA
Portugal,PRT,1978,0.69999999,NA,NA,NA,NA
Portugal,PRT,1979,0.60000002,NA,NA,NA,NA
Portugal,PRT,1980,0.60000002,NA,NA,NA,NA
Portugal,PRT,1981,0.69999999,NA,NA,5.2,NA
Portugal,PRT,1982,0.69999999,NA,NA,NA,NA
Portugal,PRT,1983,0.80000001,NA,NA,NA,NA
Portugal,PRT,1984,0.69999999,NA,NA,NA,NA
Portugal,PRT,1985,0.89999998,NA,NA,NA,NA
Portugal,PRT,1986,0.80000001,NA,NA,NA,NA
Portugal,PRT,1987,0.89999998,NA,NA,NA,NA
Portugal,PRT,1988,0.89999998,NA,NA,NA,NA
Portugal,PRT,1989,1,NA,NA,NA,NA
Portugal,PRT,1990,0.89999998,NA,NA,NA,NA
Portugal,PRT,1991,1.1,NA,NA,5.8,24
Portugal,PRT,1992,1.2,NA,NA,NA,24.1
Portugal,PRT,1993,1.2,NA,NA,NA,24.299999
Portugal,PRT,1994,1.4,NA,NA,NA,24.4
Portugal,PRT,1995,1.2,NA,NA,NA,24.5
Portugal,PRT,1996,1.3,NA,NA,NA,24.700001
Portugal,PRT,1997,1.4,NA,NA,NA,24.799999
Portugal,PRT,1998,1.5,NA,NA,NA,24.9
Portugal,PRT,1999,1.7,NA,NA,NA,25
Portugal,PRT,2000,1.9,NA,NA,NA,25.200001
Portugal,PRT,2001,1.8,NA,NA,6.4,25.5
Portugal,PRT,2002,2.7,NA,NA,NA,25.700001
Portugal,PRT,2003,2.2,NA,NA,NA,25.9
Portugal,PRT,2004,2.2,NA,NA,NA,26
Portugal,PRT,2005,2.2,NA,NA,NA,26.299999
Portugal,PRT,2006,2.3,NA,NA,NA,26.4
Portugal,PRT,2007,2.4000001,NA,NA,NA,26.6
Portugal,PRT,2008,2.5,NA,NA,NA,26.799999
Portugal,PRT,2009,2.5,NA,NA,NA,27.200001
Portugal,PRT,2010,2.5999999,NA,NA,NA,27.700001
Portugal,PRT,2011,2.5,NA,NA,8.2,28
Portugal,PRT,2012,2.4000001,NA,NA,NA,28.4
Portugal,PRT,2013,2.2,NA,NA,NA,NA
Portugal,PRT,2014,2.0999999,NA,NA,NA,29.799999
Portugal,PRT,2015,2.3,NA,NA,NA,30.200001
Portugal,PRT,2016,2.2,NA,NA,NA,30.4
Portugal,PRT,2017,2.0999999,NA,NA,NA,30.700001
Puerto Rico,PRI,1970,3.5999999,NA,NA,9.4,22.1
Puerto Rico,PRI,1980,NA,NA,NA,10.9,22.5
Puerto Rico,PRI,1985,4.4000001,NA,NA,NA,NA
Puerto Rico,PRI,1990,NA,NA,NA,17.9,23.799999
Puerto Rico,PRI,1996,3.5999999,NA,NA,NA,NA
Puerto Rico,PRI,2000,NA,NA,NA,14.6,NA
Puerto Rico,PRI,2005,4,NA,NA,15.1,NA
Puerto Rico,PRI,2006,4.5,NA,NA,NA,NA
Puerto Rico,PRI,2010,NA,NA,NA,16.2,29.200001
Qatar,QAT,1977,1.6,NA,NA,NA,NA
Qatar,QAT,1985,0.80000001,NA,NA,NA,NA
Qatar,QAT,1986,NA,NA,NA,NA,22.700001
Qatar,QAT,1995,0.89999998,NA,NA,NA,NA
Qatar,QAT,1997,NA,NA,NA,NA,25.299999
Qatar,QAT,2004,NA,NA,NA,NA,25.799999
Qatar,QAT,2005,0.80000001,NA,NA,NA,NA
Qatar,QAT,2006,1,NA,NA,NA,NA
Reunion,REU,1970,0.30000001,NA,NA,NA,NA
Reunion,REU,1974,NA,NA,NA,NA,22.5
Reunion,REU,1982,NA,NA,NA,NA,25.799999
Reunion,REU,1985,1.2,NA,NA,NA,NA
Reunion,REU,1996,1.7,NA,NA,NA,NA
Reunion,REU,1999,NA,NA,NA,NA,30.5
Reunion,REU,2004,2,NA,NA,NA,31
Reunion,REU,2005,2.4000001,NA,NA,NA,NA
Romania,ROU,1960,2,NA,NA,NA,NA
Romania,ROU,1961,1.8,NA,NA,NA,NA
Romania,ROU,1962,2,NA,NA,NA,NA
Romania,ROU,1963,1.9,NA,NA,NA,NA
Romania,ROU,1964,1.9,NA,NA,NA,NA
Romania,ROU,1965,1.9,NA,NA,NA,NA
Romania,ROU,1966,1.3,NA,NA,NA,NA
Romania,ROU,1968,0.2,NA,NA,NA,NA
Romania,ROU,1969,0.30000001,NA,NA,NA,NA
Romania,ROU,1970,0.40000001,NA,NA,NA,NA
Romania,ROU,1971,0.5,NA,NA,NA,NA
Romania,ROU,1972,0.5,NA,NA,NA,NA
Romania,ROU,1973,0.69999999,NA,NA,NA,NA
Romania,ROU,1974,0.89999998,NA,NA,NA,NA
Romania,ROU,1975,1.6,NA,NA,NA,NA
Romania,ROU,1976,1.7,NA,NA,NA,NA
Romania,ROU,1977,1.2,NA,NA,4,NA
Romania,ROU,1978,1.5,NA,NA,NA,NA
Romania,ROU,1979,1.6,NA,NA,NA,NA
Romania,ROU,1980,1.5,NA,NA,NA,NA
Romania,ROU,1981,1.5,NA,NA,NA,NA
Romania,ROU,1982,1.5,NA,NA,NA,NA
Romania,ROU,1983,1.5,NA,NA,NA,NA
Romania,ROU,1984,1.5,NA,NA,NA,NA
Romania,ROU,1985,1.4,NA,NA,NA,NA
Romania,ROU,1986,1.5,NA,NA,NA,NA
Romania,ROU,1987,1.5,NA,NA,NA,NA
Romania,ROU,1988,1.6,NA,NA,NA,NA
Romania,ROU,1989,1.6,NA,NA,NA,NA
Romania,ROU,1990,1.4,NA,NA,NA,22.4
Romania,ROU,1991,1.6,NA,NA,NA,22.299999
Romania,ROU,1992,1.3,NA,NA,6,22.4
Romania,ROU,1993,1.4,NA,NA,NA,22.5
Romania,ROU,1994,1.7,NA,NA,NA,22.700001
Romania,ROU,1995,1.5,NA,NA,NA,23.1
Romania,ROU,1996,1.6,NA,NA,NA,23.1
Romania,ROU,1997,1.5,NA,NA,NA,23.200001
Romania,ROU,1998,1.8,NA,NA,NA,23.4
Romania,ROU,1999,1.5,NA,NA,NA,23.4
Romania,ROU,2000,1.4,NA,NA,NA,23.700001
Romania,ROU,2001,1.4,NA,NA,NA,23.9
Romania,ROU,2002,1.5,NA,NA,7.4,24.1
Romania,ROU,2003,1.5,NA,NA,NA,24.4
Romania,ROU,2004,1.6,NA,NA,NA,25
Romania,ROU,2005,1.6,NA,NA,NA,25.1
Romania,ROU,2006,1.5,NA,NA,NA,25.200001
Romania,ROU,2007,1.7,NA,NA,NA,26.200001
Romania,ROU,2008,1.7,NA,NA,NA,25.6
Romania,ROU,2009,1.6,NA,NA,NA,25.5
Romania,ROU,2010,1.6,NA,NA,NA,25.6
Romania,ROU,2011,1.8,NA,NA,7.7,25.799999
Romania,ROU,2012,1.6,NA,NA,NA,NA
Romania,ROU,2013,1.4,NA,NA,NA,26.299999
Romania,ROU,2014,1.4,NA,NA,NA,26.700001
Romania,ROU,2015,1.6,NA,NA,NA,26.799999
Romania,ROU,2016,1.5,NA,NA,NA,27
Romania,ROU,2017,1.6,NA,NA,NA,27.5
Russia,RUS,1970,3,NA,NA,NA,NA
Russia,RUS,1985,4,NA,NA,NA,NA
Russia,RUS,1989,NA,NA,NA,NA,21.799999
Russia,RUS,1995,4.5,NA,NA,NA,NA
Russia,RUS,2002,NA,NA,NA,5.6,NA
Russia,RUS,2005,4.1999998,NA,NA,NA,NA
Russia,RUS,2007,4.8000002,NA,NA,NA,NA
Russia,RUS,2010,NA,NA,NA,11.5,24.4
Rwanda,RWA,1970,NA,NA,NA,NA,20.1
Rwanda,RWA,1981,NA,NA,NA,NA,21.5
Rwanda,RWA,1983,NA,NA,NA,NA,21.1
Rwanda,RWA,1992,NA,NA,NA,9.1,22.700001
Rwanda,RWA,1996,NA,NA,NA,NA,23.299999
Rwanda,RWA,2000,NA,NA,NA,20.6,22.6
Rwanda,RWA,2005,NA,NA,NA,17.7,23.700001
Rwanda,RWA,2007,NA,NA,NA,NA,23.4
Rwanda,RWA,2008,NA,NA,NA,16.6,NA
Rwanda,RWA,2010,NA,NA,NA,15.7,NA
Rwanda,RWA,2011,NA,NA,NA,NA,24.4
Rwanda,RWA,2012,NA,NA,NA,13.6,NA
Rwanda,RWA,2014,NA,NA,NA,NA,24.299999
Rwanda,RWA,2015,NA,NA,NA,14.7,NA
Saint Kitts and Nevis,KNA,1970,NA,NA,NA,NA,28.9
Saint Kitts and Nevis,KNA,1977,0.2,NA,NA,NA,NA
Saint Kitts and Nevis,KNA,1980,NA,NA,NA,NA,31.299999
Saint Kitts and Nevis,KNA,1995,0.5,NA,NA,NA,NA
Saint Kitts and Nevis,KNA,2001,0.1,NA,NA,NA,NA
Saint Kitts and Nevis,KNA,2002,0.5,NA,NA,NA,NA
Saint Lucia,LCA,1970,NA,NA,NA,NA,28.700001
Saint Lucia,LCA,1977,0,NA,NA,NA,NA
Saint Lucia,LCA,1980,NA,NA,NA,NA,31.4
Saint Lucia,LCA,1985,0.30000001,NA,NA,NA,NA
Saint Lucia,LCA,1991,NA,NA,NA,NA,33.700001
Saint Lucia,LCA,1995,0.40000001,NA,NA,NA,NA
Saint Lucia,LCA,2003,0.69999999,NA,NA,NA,NA
Saint Lucia,LCA,2004,0.69999999,NA,NA,NA,NA
Saint Pierre and Miquelon,SPM,1974,NA,NA,NA,NA,21.799999
Saint Pierre and Miquelon,SPM,1982,NA,NA,NA,NA,23.9
Saint Pierre and Miquelon,SPM,1990,NA,NA,NA,NA,27.4
Saint Pierre and Miquelon,SPM,1999,NA,NA,NA,NA,31.1
Saint Pierre et Miquelon,NA,1970,0.2,NA,NA,NA,NA
Saint Pierre et Miquelon,NA,1984,0.80000001,NA,NA,NA,NA
Saint Pierre et Miquelon,NA,1996,2.0999999,NA,NA,NA,NA
Saint Vincent and the Grenadines,VCT,1970,NA,NA,NA,NA,28.4
Saint Vincent and the Grenadines,VCT,1973,0.5,NA,NA,NA,NA
Saint Vincent and the Grenadines,VCT,1980,0.2,NA,NA,NA,28.200001
Saint Vincent and the Grenadines,VCT,1991,NA,NA,NA,NA,30.9
Saint Vincent and the Grenadines,VCT,1995,0.5,NA,NA,NA,NA
Saint Vincent and the Grenadines,VCT,2001,NA,NA,NA,NA,21.200001
Saint Vincent and the Grenadines,VCT,2004,0.80000001,NA,NA,NA,NA
Saint Vincent and the Grenadines,VCT,2005,0.89999998,NA,NA,NA,NA
Saint Vincent and the Grenadines,VCT,2012,NA,NA,NA,NA,21.200001
Samoa,WSM,1970,0.30000001,NA,NA,NA,NA
Samoa,WSM,1971,NA,NA,NA,NA,22
Samoa,WSM,1976,NA,NA,NA,NA,22.1
Samoa,WSM,1981,NA,NA,NA,NA,23.200001
Samoa,WSM,1983,0.60000002,NA,NA,NA,NA
Samoa,WSM,1986,NA,NA,NA,NA,24.799999
Samoa,WSM,1991,NA,NA,NA,NA,24.299999
Samoa,WSM,1998,0.2,NA,NA,NA,NA
Samoa,WSM,2001,NA,NA,NA,NA,24.299999
Samoa,WSM,2004,0.2,NA,NA,NA,NA
Samoa,WSM,2005,0.2,NA,NA,NA,NA
Samoa,WSM,2006,NA,NA,NA,NA,24.299999
Samoa,WSM,2011,NA,NA,NA,NA,23.5
Samoa,WSM,2016,NA,NA,NA,NA,23.799999
San Marino,SMR,1970,NA,NA,NA,NA,20.6
San Marino,SMR,1971,NA,NA,NA,NA,20.700001
San Marino,SMR,1972,NA,NA,NA,NA,21.1
San Marino,SMR,1973,NA,NA,NA,NA,21.200001
San Marino,SMR,1974,NA,NA,NA,NA,21.299999
San Marino,SMR,1975,NA,NA,NA,NA,21.4
San Marino,SMR,1976,NA,NA,NA,NA,21.700001
San Marino,SMR,1977,NA,NA,NA,NA,21.799999
San Marino,SMR,1978,NA,NA,NA,NA,22
San Marino,SMR,1979,NA,NA,NA,NA,22.4
San Marino,SMR,1980,NA,NA,NA,NA,22.799999
San Marino,SMR,1981,NA,NA,NA,NA,23.200001
San Marino,SMR,1982,0.2,NA,NA,NA,23.6
San Marino,SMR,1983,NA,NA,NA,NA,23.9
San Marino,SMR,1984,NA,NA,NA,NA,24.1
San Marino,SMR,1985,0.1,NA,NA,NA,24.1
San Marino,SMR,1986,NA,NA,NA,NA,24.299999
San Marino,SMR,1987,NA,NA,NA,NA,24.6
San Marino,SMR,1988,NA,NA,NA,NA,24.9
San Marino,SMR,1989,NA,NA,NA,NA,25.1
San Marino,SMR,1991,NA,NA,NA,NA,25.700001
San Marino,SMR,1992,NA,NA,NA,NA,26
San Marino,SMR,1993,NA,NA,NA,NA,26.4
San Marino,SMR,1994,NA,NA,NA,NA,26.6
San Marino,SMR,1995,1.1,NA,NA,NA,26.799999
San Marino,SMR,1997,NA,NA,NA,NA,27
San Marino,SMR,2003,NA,NA,NA,NA,28.5
San Marino,SMR,2004,2.0999999,NA,NA,NA,NA
San Marino,SMR,2005,2,NA,NA,NA,28.799999
San Marino,SMR,2006,2.8,NA,NA,NA,NA
San Marino,SMR,2007,2.0999999,NA,NA,NA,NA
San Marino,SMR,2008,2.2,NA,NA,NA,NA
San Marino,SMR,2011,2.5,NA,NA,NA,NA
San Marino,SMR,2012,1.5,NA,NA,NA,NA
San Marino,SMR,2013,NA,NA,NA,NA,30.700001
San Marino,SMR,2014,NA,NA,NA,NA,30.700001
San Marino,SMR,2017,NA,NA,NA,NA,31.200001
Sao Tome and Principe,STP,2000,NA,NA,NA,NA,19.299999
Sao Tome and Principe,STP,2008,NA,NA,NA,NA,20.4
Sao Tome and Principe,STP,2012,NA,NA,NA,13.4,NA
Sao Tome and Principe,STP,2014,NA,NA,NA,NA,21
Saudi Arabia,SAU,1987,NA,NA,NA,NA,21.700001
Saudi Arabia,SAU,1996,0.80000001,NA,NA,NA,24
Saudi Arabia,SAU,2004,1.1,NA,NA,NA,NA
Saudi Arabia,SAU,2005,1.1,NA,NA,NA,NA
Saudi Arabia,SAU,2007,NA,NA,NA,NA,24.9
Saudi Arabia,SAU,2016,NA,NA,NA,NA,27.1
Saudi Arabia,SAU,2017,NA,NA,NA,NA,26.6
Senegal,SEN,1970,NA,NA,NA,NA,18.6
Senegal,SEN,1978,NA,NA,NA,NA,17.9
Senegal,SEN,1986,NA,NA,NA,NA,19.5
Senegal,SEN,1992,NA,NA,NA,NA,20.9
Senegal,SEN,1993,NA,NA,NA,2.9,NA
Senegal,SEN,1997,NA,NA,NA,3.5,21.5
Senegal,SEN,1999,NA,NA,NA,NA,21.6
Senegal,SEN,2000,NA,NA,NA,NA,21.5
Senegal,SEN,2005,NA,NA,NA,7,21.200001
Senegal,SEN,2006,NA,NA,NA,3.4,NA
Senegal,SEN,2008,NA,NA,NA,3.6,NA
Senegal,SEN,2010,NA,NA,NA,NA,21.6
Senegal,SEN,2011,NA,NA,NA,4.2,NA
Senegal,SEN,2012,NA,NA,NA,NA,21.799999
Senegal,SEN,2013,NA,NA,NA,4.7,NA
Senegal,SEN,2014,NA,NA,NA,5.7,22
Senegal,SEN,2015,NA,NA,NA,7.1,22
Senegal,SEN,2016,NA,NA,NA,5.4,21.799999
Senegal,SEN,2017,NA,NA,NA,NA,22.200001
Serbia,SRB,1970,1.1,NA,NA,NA,NA
Serbia,SRB,1985,1.2,NA,NA,NA,NA
Serbia,SRB,1996,0.69999999,NA,NA,NA,NA
Serbia,SRB,2002,NA,NA,NA,9.1,NA
Serbia,SRB,2005,1,NA,NA,NA,25.1
Serbia,SRB,2006,1.1,NA,NA,NA,NA
Serbia,SRB,2007,1.2,NA,NA,NA,NA
Serbia,SRB,2008,1.2,NA,NA,NA,NA
Serbia,SRB,2009,1.2,NA,NA,NA,NA
Serbia,SRB,2010,0.89999998,NA,NA,NA,26
